date,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s),site number,site name
12/01/20,152.44,337.53,51.22,47.36,21.93,84.06,5.59,2.44,32.07,18.08,0.37,0.78,,8.46,23.66,17.75,60.24,0.61,249.64,0.0,0.0,40.12,,,5345,Sector-51
13/01/20,143.3,,50.65,67.15,73.96,,5.38,1.5,28.19,2.01,6.03,3.01,,3.01,4.0,,78.64,0.67,198.49,,0.0,86.36,775.64,-0.2,146,Vikas Sadan
13/01/20,172.15,233.54,6.61,12.74,19.36,,,2.41,30.49,,,,,,,,,,,,0.0,,,,5025,NISE Gwal Pahari
13/01/20,,,,,,,,,,,,,,,,,,,,,0.0,,,,5344,Teri Gram
13/01/20,,,,,,,,,,,,,,,,,,,,,0.0,,,,5345,Sector-51
14/01/20,67.21,,6.93,42.91,26.1,,7.44,0.95,17.93,2.0,5.99,2.98,,3.01,4.03,,88.32,0.7,260.57,,0.0,98.46,782.22,-0.21,146,Vikas Sadan
14/01/20,87.87,121.92,7.63,12.89,20.53,,,1.85,21.38,,,,,,,,,,,,0.0,,,,5025,NISE Gwal Pahari
14/01/20,,,,,,,,,,,,,,,,,,,,,0.0,,,,5344,Teri Gram
14/01/20,,,,,,,,,,,,,,,,,,,,,0.0,,,,5345,Sector-51
15/01/20,80.1,,11.77,50.61,34.21,,8.12,0.95,34.9,2.0,6.01,3.03,,3.0,4.01,,85.41,0.64,257.18,,0.0,99.22,784.03,-0.23,146,Vikas Sadan
15/01/20,106.78,169.05,9.71,19.98,29.69,,,1.56,22.98,,,,,,,,,,,,0.0,,,,5025,NISE Gwal Pahari
15/01/20,,,,,,,,,,,,,,,,,,,,,0.0,,,,5344,Teri Gram
15/01/20,,,,,,,,,,,,,,,,,,,,,0.0,,,,5345,Sector-51
16/01/20,79.6,,12.31,40.6,29.48,,6.86,1.01,,1.99,5.99,3.0,,3.02,3.99,,88.35,0.6,241.14,,0.0,48.11,783.12,-0.24,146,Vikas Sadan
16/01/20,125.28,187.43,13.89,21.0,34.89,,,1.57,10.39,,,,,,,,,,,,0.0,,,,5025,NISE Gwal Pahari
16/01/20,,,,,,,,,,,,,,,,,,,,,0.0,,,,5344,Teri Gram
16/01/20,,,,,,,,,,,,,,,,,,,,,0.0,,,,5345,Sector-51
17/01/20,67.35,,16.65,43.05,33.11,,8.36,1.06,22.51,2.0,6.01,3.01,,3.0,4.01,,89.45,0.76,255.83,,0.0,100.32,783.97,-0.22,146,Vikas Sadan
17/01/20,82.33,121.59,11.8,13.67,25.47,,,1.51,14.88,,,,,,,,,,,,0.0,,,,5025,NISE Gwal Pahari
17/01/20,,,,,,,,,,,,,,,,,,,,,0.0,,,,5344,Teri Gram
17/01/20,,,,,,,,,,,,,,,,,,,,,0.0,,,,5345,Sector-51
18/01/20,81.62,,35.51,46.54,49.92,,8.42,1.33,24.11,2.01,6.0,2.99,,2.99,4.01,,88.74,0.65,251.8,,0.0,56.63,786.96,-0.24,146,Vikas Sadan
18/01/20,107.1,164.45,21.54,19.72,41.26,,,2.02,16.91,,,,,,,,,,,,0.0,,,,5025,NISE Gwal Pahari
18/01/20,,,,,,,,,,,,,,,,,,,,,0.0,,,,5344,Teri Gram
18/01/20,,,,,,,,,,,,,,,,,,,,,0.0,,,,5345,Sector-51
19/01/20,80.68,,2.56,35.19,18.03,,7.09,0.78,54.48,2.0,6.01,3.01,,3.0,3.99,,87.66,0.99,275.77,,0.0,90.88,788.89,-0.18,146,Vikas Sadan
19/01/20,101.78,156.09,6.4,8.12,14.52,,,1.51,25.83,,,,,,,,,,,,0.0,,,,5025,NISE Gwal Pahari
19/01/20,,,,,,,,,,,,,,,,,,,,,0.0,,,,5344,Teri Gram
19/01/20,,,,,,,,,,,,,,,,,,,,,0.0,,,,5345,Sector-51
20/01/20,75.36,,21.81,36.27,34.72,,9.0,1.18,41.82,2.01,6.0,3.0,,2.99,4.0,,89.26,0.77,254.31,,0.0,93.54,786.69,-0.22,146,Vikas Sadan
20/01/20,100.43,166.45,8.03,10.76,18.79,,,1.51,21.1,,,,,,,,,,,,0.0,,,,5025,NISE Gwal Pahari
20/01/20,,,,,,,,,,,,,,,,,,,,,0.0,,,,5344,Teri Gram
